Cap ID,Site,Year,Species,Tissue,Num,Length,Weight,Sample weight,As,Cd,Cu,Pb,Se,Zn
344,BG,2021,LL,l,9,280,230,0.1283,2.761144378,1.630073187,968.1636727,0.332667997,10.54557552,271.4570858
449,BG,2021,LL,l,4,310,325,0.0703,0.364520049,1.093560146,951.5188335,0.121506683,14.03402187,165.309842
435,BG,2021,LL,l,1,235,155,0.1398,0.621890547,1.990049751,941.8739635,0.207296849,14.26202322,195.6467662
513,BG,2021,LL,l,6,287,255,0.0767,0.486066105,0.777705768,437.0058328,0.129617628,9.850939728,187.8807518
349,BG,2021,LL,l,7,198,80,0.1211,1.380443714,0.829909614,367.6663928,0.238290879,9.231717338,241.5036976
345,BG,2021,LL,l,8,150,35,0.0875,0.637096774,0.709677419,138.3306452,0.282258065,5.540322581,337.1612903
339,BG,2021,LL,l,10,205,95,0.0936,1.262245667,0.708364732,103.1763376,0.211002261,6.412961567,263.8696307
315,BG,2022,LL,g,4,429,640,0.1445,0.715005035,0.171198389,20.55387714,0.563947633,3.136958711,214.8439074
350,BG,2021,LL,g,7,198,80,0.874,1.95959596,0.383838384,17.04040404,3,3.323232323,458.9292929
343,BG,2021,LL,g,9,280,230,0.069,3.90052356,1.064572426,16.36125654,2.591623037,2.897033159,548.6823735
317,BG,2022,LL,g,3,301,280,0.1218,1.063218391,0.201149425,16.12787356,0.804597701,3.060344828,371.4798851
346,BG,2021,LL,g,8,150,35,0.1072,1.805555556,0.3125,15.53819444,2.170138889,3.489583333,463.1597222
531,BG,2021,LL,g,3,246,165,0.0937,1.235521236,0.501930502,12.7027027,1.776061776,2.586872587,501.003861
341,BG,2021,LL,g,10,205,95,0.1465,1.497005988,0.469061876,9.331337325,1.007984032,5.079840319,317.754491
310,BG,2022,LL,g,1,320,265,0.08,0.46641791,0.223880597,8.600746269,0.78358209,1.865671642,316.8656716
314,BG,2022,LL,g,6,366,450,0.0881,0.489864865,0.275900901,7.31981982,1.047297297,2.561936937,390.1013514
348,BG,2021,LL,m,7,198,80,0.1182,1.93131695,0.007876497,5.459987398,0.006301197,1.43194707,34.95116572
434,BG,2021,LL,m,4,310,325,0.4309,0.999170813,0.012437811,2.740464345,0.012437811,2.039800995,49.06716418
338,BG,2021,LL,m,2,390,625,0.1034,0.517241379,0.003707824,1.820541342,0.003707824,1.203188728,28.61883574
311,BG,2022,LL,m,1,320,265,0.0509,0.388792891,0.013576895,1.466304616,0.006171316,1.06763762,31.36509504
318,BG,2022,LL,m,3,301,280,0.1089,0.563953488,0.005813953,1.393895349,0.00872093,1.216569767,34.35465116
340,BG,2021,LL,m,10,205,95,0.0567,2.245130281,0.007589173,1.335694409,0.011383759,1.746774602,30.41108019
347,BG,2021,LL,m,8,150,35,0.1125,0.875509017,0.002908668,1.332169866,0.008726003,1.524141943,34.60442118
313,BG,2022,LL,m,6,366,450,0.0977,0.14455152,0.005559674,1.247220163,0.012972572,1.056338028,26.82171979
342,BG,2021,LL,m,9,280,230,0.1499,0.861533685,0.004656939,1.244954983,0.015523129,0.965538653,19.4240919
430,BG,2021,LL,m,6,287,255,0.3802,0.472370766,0.001782531,1.064171123,0.005347594,0.903743316,17.28698752
535,BG,2021,LL,m,9,280,230,0.3439,0.912711583,0.004978427,1.037172254,0.019913707,1.062064388,17.91901759
534,BG,2021,LL,m,1,235,155,0.32,0.319390402,0.004863813,1.027885863,0.012970169,1.26459144,17.43514916
312,BG,2022,LL,m,2,292,275,0.1449,0.316474416,0.002957705,1.02484472,0.008873114,1.140195209,22.12215321
316,BG,2022,LL,m,4,429,640,0.1474,1.128426172,0.004420866,0.984748011,0.008841733,1.151635721,24.89168877
319,BG,2022,LL,g,2,292,275,0.143,0.70327553,0.260115607,,0.433526012,2.668593449,568.3815029
415,BG,2021,LL,l,9,280,230,0.0521,0.33153868,0.110512893,,0.188438651,0.687163502,
26,DL,2021,LL,l,13,436,716.67536,0.2698,1.146272855,5.636427567,4012.876231,0.604781997,13.13994374,195.2355837
13,DL,2021,LL,l,5,392,564,0.1327,1.729711142,1.341127923,1981.963549,0.251031637,11.2826685,148.105227
