Site,Year,Species,Tissue,Num,Cap,Sample wt,Length,Weight,As,Cd,Cu,Pb,Se,Zn
DL,2021,LL,M,1,1,0.4187,254,184,0.357,0.007,0.947,0.011,0.91,20.393
DL,2021,LL,L,1,2,0.1027,254,184,0.249,0.197,243.506,0.072,2.194,27.886
DL,2021,LL,G,1,3,0.1503,254,184,0.287,0.063,0.893,0.163,0.798,108.258
DL,2021,LL,M,3,6,0.2029,158,42,0.16,0.001039416,0.551,0.008,0.42,12.828
DL,2021,LL,L,3,7,0.0972,158,42,0.17,0.153,83.14,0.023,1.244,37.626
DL,2021,LL,G,3,8,0.0993,158,42,0.223,0.043,1.246,0.157,0.413,73.08
DL,2021,LL,M,4,9,0.2618,141,28,0.23,0.035,1.427,0.013,0.79,23.706
DL,2021,LL,L,4,10,0.0797,141,28,0.193,0.176,68.411,0.049,1.286,33.481
DL,2021,LL,G,4,11,0.0445,141,28,0.084,0.018,0.451,0.072,0.233,29.495
DL,2021,LL,M,5,12,0.3536,392,564,0.478,0.004,0.848,0.003653829,0.603,15.587
DL,2021,LL,L,5,13,0.1454,392,564,0.515,0.408,582.172,0.0785,3.034,44.1255
DL,2021,LL,G,5,14,0.1355,392,564,0.2805,0.115,0.989,0.1425,0.506,163.4355
DL,2021,LL,M,6,15,0.3128,167,52,0.744,0.005,0.7,0.009,0.767,19.149
DL,2021,LL,L,6,16,0.0897,167,52,3.057,0.185,61.553,0.036,1.335,36.721
DL,2021,LL,G,6,17,0.0988,167,52,0.202,0.052,1.282,0.073,0.538,66.626
DL,2021,LL,M,7,18,0.4414,188,74,0.414,0.006,1.189,0.014,0.704,30.251
DL,2021,LL,L,7,19,0.1337,188,74,0.345,0.2215,126.343,0.117,1.612,57.7015
DL,2021,LL,G,7,20,0.0781,188,74,0.126,0.03,1.303,0.178,0.179,50.713
DL,2021,LL,M,8,21,0.4281,183,72,1.378,0.005,1.089,0.012,1.143,21.52
DL,2021,LL,L,8,22,0.1053,183,72,0.322,0.249,91.55,0.079,1.746,35.135
DL,2021,LL,G,8,23,0.0685,183,72,0.118,0.059,1.292,0.035,1.096,18.287
DL,2021,LL,L,13,26,0.1422,436,716.67536,0.2995,1.4705,1146.2585,0.1375,3.935,55.0915
DL,2021,LL,M,14,27,0.3905,147,36.28736,0.346,0.007,1.303,0.015,0.97,30.116
DL,2021,LL,L,14,28,0.0627,147,36.28736,0.092,0.065,45.854,0.036,0.787,24.748
DL,2021,LL,G,14,29,0.0534,147,36.28736,0.293,0.03,2.412,0.339,0.351,48.641
DL,2021,LL,M,13,30,0.3463,436,716.67536,0.425,0.001039416,0.686,0.009,0.644,10.46
DL,2021,LL,G,13,31,0.1404,436,716.67536,0.284,0.054,1.947,0.784,0.519,99.385
DL,2021,RSSH,WB,1,32,0.0499,25,0.22,0.338,0.025,1.434,0.142,0.143,24.503
DL,2021,RSSH,WB,2,33,0.0674,25,0.31,0.58,0.048,6.867,0.286,0.208,29.39
DL,2021,RSSH,WB,3,34,0.0248,21,0.18,0.208,0.015,0.73,0.091,0.061,11.656
DL,2021,RSSH,WB,4,35,0.0748,26,0.24,0.415,0.029,1.959,0.18,0.182,29.712
DL,2021,RSSH,WB,5,36,0.045,25,0.21,0.284,0.023,1.198,0.068,0.11,17.956
DL,2021,RSSH,WB,6,37,0.0412,24,0.2,0.246,0.021,1.012,0.064,0.109,18.614
DL,2021,RSSH,WB,7,38,0.0521,26,0.27,0.204,0.02,1.11,0.057,0.13,20.354
DL,2021,RSSH,WB,8,39,0.1003,27,0.2,0.44,0.05,2.075,0.109,0.332,38.767
DL,2021,LNSU,WB,1,41,0.2257,44,1.15,1.772,0.11,8.784,0.583,0.483,85.46
DL,2021,LNSU,WB,2,42,0.1515,38.5,0.4,2.704,0.069,11.168,0.918,0.63,49.573
DL,2021,LNSU,WB,3,43,0.1124,34.5,0.4,2.786,0.1,9.625,0.755,0.468,48.071
DL,2021,LNDC,M,1,44,0.0355,69,na,0.04,0.008,0.462,0.003653829,0.086,5.702
DL,2021,LNDC,M,2,45,0.0416,61,na,0.035,0.003,0.388,0.003653829,0.061,8.495
DL,2021,LNDC,M,3,46,0.0292,61,na,0.016,0.007,0.273,0.003653829,0.085,5.421
DL,2021,LSSU,M,1,47,0.401,468,1056,0.182,0.009,1.075,0.018,0.48,22.873
DL,2021,LSSU,G,1,48,0.1375,468,1056,0.162,0.023,1.375,0.191,0.236,20.477
DL,2021,LSSU,M,2,49,0.4466,480,1114,0.253,0.012,1.192,0.03,0.713,21.673
DL,2021,LSSU,G,2,50,0.1217,480,1114,0.174,0.032,1.446,0.224,0.341,24.427
DL,2021,LSSU,L,2,51,0.071,480,1114,0.056,0.111,1.709,0.013,0.175,15.686
DL,2021,LSSU,M,3,52,0.3021,449,988.83056,0.161,0.005,0.808,0.018,0.319,17.901
DL,2021,LSSU,G,3,53,0.1487,449,988.83056,0.156,0.041,1.471,0.169,0.528,26.538
DL,2021,LSSU,M,4,54,0.3861,460,1016.04608,0.184,0.003,1.596,0.018,0.644,21.52
