Cap ID,Site,Year,Species,Tissue,Num,Length,Weight,Sample weight,As,Cd,Cu,Pb,Se,Zn
1,DL,2021,LL,m,1,254,184,0.0536,0.357,0.007,0.947,0.011,0.91,20.393
2,DL,2021,LL,l,1,254,184,0.0888,0.249,0.197,243.506,0.072,2.194,27.886
3,DL,2021,LL,g,1,254,184,0.0993,0.287,0.063,0.893,0.163,0.798,108.258
6,DL,2021,LL,m,3,158,42,0.0696,0.16,0.001039416,0.551,0.008,0.42,12.828
7,DL,2021,LL,l,3,158,42,0.0519,0.17,0.153,83.14,0.023,1.244,37.626
8,DL,2021,LL,g,3,158,42,0.0501,0.223,0.043,1.246,0.157,0.413,73.08
9,DL,2021,LL,m,4,141,28,0.0573,0.23,0.035,1.427,0.013,0.79,23.706
10,DL,2021,LL,l,4,141,28,0.0288,0.193,0.176,68.411,0.049,1.286,33.481
11,DL,2021,LL,g,4,141,28,0.0495,0.084,0.018,0.451,0.072,0.233,29.495
12,DL,2021,LL,m,5,392,564,0.1295,0.478,0.004,0.848,0.003653829,0.603,15.587
13,DL,2021,LL,l,5,392,564,0.1327,0.503,0.39,576.355,0.073,3.281,43.069
14,DL,2021,LL,g,5,392,564,0.062,0.527,0.426,587.989,0.084,2.787,45.182
15,DL,2021,LL,m,6,167,52,0.1217,0.298,0.109,0.989,0.141,0.553,161.232
16,DL,2021,LL,l,6,167,52,0.1382,0.263,0.121,0.989,0.144,0.459,165.639
17,DL,2021,LL,g,6,167,52,0.1503,0.744,0.005,0.7,0.009,0.767,19.149
18,DL,2021,LL,m,7,188,74,0.1382,3.057,0.185,61.553,0.036,1.335,36.721
19,DL,2021,LL,l,7,188,74,0.1206,0.202,0.052,1.282,0.073,0.538,66.626
20,DL,2021,LL,g,7,188,74,0.0823,0.414,0.006,1.189,0.014,0.704,30.251
21,DL,2021,LL,m,8,183,72,0.1543,0.331,0.209,124.869,0.068,1.64,57.205
22,DL,2021,LL,l,8,183,72,0.4051,0.359,0.234,127.817,0.166,1.584,58.198
23,DL,2021,LL,g,8,183,72,0.3381,0.126,0.03,1.303,0.178,0.179,50.713
26,DL,2021,LL,l,13,436,716.67536,0.2698,1.378,0.005,1.089,0.012,1.143,21.52
27,DL,2021,LL,m,14,147,36.28736,0.4524,0.322,0.249,91.55,0.079,1.746,35.135
28,DL,2021,LL,l,14,147,36.28736,0.344,0.118,0.059,1.292,0.035,1.096,18.287
29,DL,2021,LL,g,14,147,36.28736,0.2697,0.326,1.603,1141.262,0.172,3.737,55.525
30,DL,2021,LL,m,13,436,716.67536,0.3953,0.273,1.338,1151.255,0.103,4.133,54.658
31,DL,2021,LL,g,13,436,716.67536,0.3221,0.346,0.007,1.303,0.015,0.97,30.116
32,DL,2021,RSSH,wb,1,25,0.22,0.1719,0.092,0.065,45.854,0.036,0.787,24.748
33,DL,2021,RSSH,wb,2,25,0.31,0.3174,0.293,0.03,2.412,0.339,0.351,48.641
34,DL,2021,RSSH,wb,3,21,0.18,0.2805,0.425,0.001039416,0.686,0.009,0.644,10.46
35,DL,2021,RSSH,wb,4,26,0.24,0.1206,0.284,0.054,1.947,0.784,0.519,99.385
36,DL,2021,RSSH,wb,5,25,0.21,0.3084,0.338,0.025,1.434,0.142,0.143,24.503
37,DL,2021,RSSH,wb,6,24,0.2,0.3013,0.58,0.048,6.867,0.286,0.208,29.39
38,DL,2021,RSSH,wb,7,26,0.27,0.1177,0.208,0.015,0.73,0.091,0.061,11.656
