Cap,Site,Year,Species,Tissue,Num,Sample.weight,Length,Weight,As,Cd,Cu,Pb,Se,Zn
1,DL,2021,LL,m,1,0.4187,254,184,0.426319561,0.008359207,1.130881299,0.013135897,1.086696919,24.35275854
2,DL,2021,LL,l,1,0.1027,254,184,1.212268744,0.959104187,1185.520935,0.35053554,10.68159688,135.7643622
3,DL,2021,LL,g,1,0.1503,254,184,0.954757152,0.209580838,2.970725216,0.542248836,2.654690619,360.1397206
6,DL,2021,LL,m,3,0.2029,158,42,0.394282898,0.002561399,1.35781173,0.019714145,1.034992607,31.61163135
7,DL,2021,LL,l,3,0.0972,158,42,0.874485597,0.787037037,427.6748971,0.118312757,6.399176955,193.5493827
8,DL,2021,LL,g,3,0.0993,158,42,1.12286002,0.216515609,6.273917422,0.790533736,2.079556898,367.9758308
9,DL,2021,LL,m,4,0.2618,141,28,0.439266616,0.06684492,2.725362872,0.024828113,1.508785332,45.2750191
10,DL,2021,LL,l,4,0.0797,141,28,1.210790464,1.104140527,429.1781681,0.30740276,8.067754078,210.0439147
11,DL,2021,LL,g,4,0.0445,141,28,0.943820225,0.202247191,5.06741573,0.808988764,2.617977528,331.4044944
12,DL,2021,LL,m,5,0.3536,392,564,0.675904977,0.005656109,1.199095023,0.005166614,0.852658371,22.04044118
13,DL,2021,LL,l,5,0.1454,392,564,1.770976616,1.403026135,2001.966988,0.269944979,10.43328748,151.7383081
14,DL,2021,LL,g,5,0.1355,392,564,1.035055351,0.424354244,3.649446494,0.525830258,1.867158672,603.0830258
15,DL,2021,LL,m,6,0.3128,167,52,1.189258312,0.007992327,1.118925831,0.014386189,1.226023018,30.60901535
16,DL,2021,LL,l,6,0.0897,167,52,17.04013378,1.031215162,343.1047938,0.200668896,7.441471572,204.6878484
17,DL,2021,LL,g,6,0.0988,167,52,1.022267206,0.263157895,6.487854251,0.369433198,2.722672065,337.1761134
18,DL,2021,LL,m,7,0.4414,188,74,0.468962392,0.006796556,1.346850929,0.015858632,0.797462619,34.26710467
19,DL,2021,LL,l,7,0.1337,188,74,1.290201945,0.828347046,472.486911,0.437546746,6.02842184,215.7872102
20,DL,2021,LL,g,7,0.0781,188,74,0.806658131,0.19206146,8.341869398,1.139564661,1.145966709,324.6670935
21,DL,2021,LL,m,8,0.4281,183,72,1.609437047,0.005839757,1.271899089,0.014015417,1.334968465,25.13431441
22,DL,2021,LL,l,8,0.1053,183,72,1.528964862,1.182336182,434.7103514,0.375118708,8.290598291,166.8328585
23,DL,2021,LL,g,8,0.0685,183,72,0.861313869,0.430656934,9.430656934,0.255474453,8,133.4817518
26,DL,2021,LL,l,13,0.1422,436,717,1.053094233,5.170534459,4030.444796,0.48347398,13.83614627,193.7113221
27,DL,2021,LL,m,14,0.3905,147,36,0.443021767,0.008962868,1.66837388,0.019206146,1.241997439,38.56081946
28,DL,2021,LL,l,14,0.0627,147,36,0.733652313,0.518341308,365.661882,0.28708134,6.275917065,197.3524721
29,DL,2021,LL,g,14,0.0534,147,36,2.743445693,0.280898876,22.58426966,3.174157303,3.286516854,455.4400749
30,DL,2021,LL,m,13,0.3463,436,717,0.613629801,0.001500744,0.99047069,0.012994513,0.929829627,15.10251227
31,DL,2021,LL,g,13,0.1404,436,717,1.011396011,0.192307692,6.933760684,2.792022792,1.848290598,353.9351852
32,DL,2021,RSSH,wb,1,0.0499,25,0.22,3.386773547,0.250501002,14.36873747,1.422845691,1.432865731,245.5210421
33,DL,2021,RSSH,wb,2,0.0674,25,0.31,4.302670623,0.356083086,50.9421365,2.121661721,1.543026706,218.0267062
34,DL,2021,RSSH,wb,3,0.0248,21,0.18,4.193548387,0.302419355,14.71774194,1.834677419,1.22983871,235
35,DL,2021,RSSH,wb,4,0.0748,26,0.24,2.774064171,0.193850267,13.09491979,1.203208556,1.21657754,198.6096257
36,DL,2021,RSSH,wb,5,0.045,25,0.21,3.155555556,0.255555556,13.31111111,0.755555556,1.222222222,199.5111111
37,DL,2021,RSSH,wb,6,0.0412,24,0.2,2.985436893,0.254854369,12.2815534,0.776699029,1.322815534,225.8980583
38,DL,2021,RSSH,wb,7,0.0521,26,0.27,1.957773512,0.19193858,10.65259117,0.547024952,1.247600768,195.3358925
39,DL,2021,RSSH,wb,8,0.1003,27,0.2,2.193419741,0.249252243,10.3439681,0.54336989,1.655034895,193.2552343
41,DL,2021,LNSU,wb,1,0.2257,44,1.15,3.925564909,0.243686309,19.45945946,1.291537439,1.070004431,189.322109
42,DL,2021,LNSU,wb,2,0.1515,38.5,0.4,8.924092409,0.227722772,36.85808581,3.02970297,2.079207921,163.6072607
43,DL,2021,LNSU,wb,3,0.1124,34.5,0.4,12.39323843,0.444839858,42.8158363,3.358540925,2.081850534,213.838968
44,DL,2021,LNDC,m,1,0.0355,69,NA,0.563380282,0.112676056,6.507042254,0.051462382,1.211267606,80.30985915
45,DL,2021,LNDC,m,2,0.0416,61,NA,0.420673077,0.036057692,4.663461538,0.043916215,0.733173077,102.1033654
46,DL,2021,LNDC,m,3,0.0292,61,NA,0.273972603,0.119863014,4.674657534,0.062565567,1.455479452,92.82534247
47,DL,2021,LSSU,m,1,0.401,468,1056,0.226932668,0.011221945,1.340399002,0.02244389,0.598503741,28.51995012
48,DL,2021,LSSU,g,1,0.1375,468,1056,0.589090909,0.083636364,5,0.694545455,0.858181818,74.46181818
49,DL,2021,LSSU,m,2,0.4466,480,1114,0.283251232,0.013434841,1.334527541,0.033587103,0.798253471,24.26444245
50,DL,2021,LSSU,g,2,0.1217,480,1114,0.714872638,0.13147083,5.940838127,0.920295809,1.400986031,100.3574363
51,DL,2021,LSSU,l,2,0.071,480,1114,0.394366197,0.781690141,12.03521127,0.091549296,1.232394366,110.4647887
52,DL,2021,LSSU,m,3,0.3021,449,989,0.266468057,0.008275405,1.337305528,0.02979146,0.527970871,29.62760675
53,DL,2021,LSSU,g,3,0.1487,449,989,0.524546066,0.137861466,4.946200403,0.568258238,1.775386685,89.23335575
54,DL,2021,LSSU,m,4,0.3861,460,1016,0.238280238,0.003885004,2.066822067,0.023310023,0.833980834,27.86842787
55,DL,2021,LSSU,g,4,0.08,460,1016,0.4125,0.0875,5.50625,0.71875,1.61875,69.625
56,DL,2021,LSSU,m,5,0.3315,430,816,0.253393665,0.004524887,1.340874811,0.021116139,0.68627451,22.81297134
57,DL,2021,LSSU,g,5,0.0509,430,816,0.461689587,0.10805501,14.2043222,0.746561886,1.591355599,99.53831041
58,DL,2021,LSSU,m,6,0.2868,428,844,0.235355649,0.008716876,1.392956764,0.027894003,1.201185495,25.13772664
59,DL,2021,LSSU,g,6,0.1449,428,844,0.655624569,0.155279503,6.007591442,1.839199448,1.93236715,105.4554865
60,DL,2021,LSSU,m,7,0.4045,479,1134,0.241038319,0.004944376,1.343634116,0.013597033,0.577255871,31.35352287
61,DL,2021,LSSU,g,7,0.0977,479,1134,0.342886387,0.092118731,5.547594678,0.624360287,1.028659161,97.1136131
62,DL,2021,LSSU,m,8,0.3819,436,862,0.199004975,0.00785546,1.632626342,0.011783189,0.555119141,21.34852056
63,DL,2021,LSSU,g,8,0.0881,436,862,0.289443814,0.119182747,4.659477866,0.584562997,1.08399546,113.3314415
64,DL,2021,LSSU,m,9,0.4958,436,862,0.320693828,0.005042356,1.413876563,0.014118596,0.695845099,23.88563937
75,DL,2021,MWF,m,2,0.3923,443,870,0.355595208,0.006372674,0.842467499,0.004656932,0.611776702,11.4542442
76,DL,2021,MWF,g,2,0.1453,443,870,0.471438403,0.196145905,3.386097729,0.464556091,4.824501032,74.61803166
