Sample,Site,Year,Species,Num,Length,Weight,13C,15N,,,,,,,,,,,,
BG21LL09,BG,2021,LL,9,28,230,-26.86,11.24,,,,,,,,,,,,
BG22LNDC01,BG,2022,LNDC,1,77,5,-27.17,10.37,,,,,,,,,,,,
GC21LL04,GC,2021,LL,4,107,10,-28.96,13.45,,,,,,,,,,,,
GC22LL11,GC,2022,LL,11,124,5,-29.30,13.07,,,,,,,,,,,,
GC21LNSU02,GC,2021,LNSU,2,128,15,-27.41,12.00,,,,,,,,,,,,
DL21LL04,DL,2021,LL,4,141,28,-27.52,10.39,,,,,,,,,,,,
DL21LL14,DL,2021,LL,14,147,36,-27.02,7.69,,,,,,,,,,,,
GC21LL14,GC,2021,LL,14,147,36,-27.04,10.53,,,,,,,,,,,,
BG21LL08,BG,2021,LL,8,150,35,-26.65,6.89,,,,,,,,,,,,
BG21LL05,BG,2021,LL,5,152,30,-31.42,12.46,,,,,,,,,,,,
GC22MWF13,GC,2022,MWF,13,152,20,-27.41,10.26,,,,,,,,,,,,
GC21LL11,GC,2021,LL,11,155,10,-29.62,12.67,,,,,,,,,,,,
GC22LL12,GC,2022,LL,12,156,10,-30.50,13.26,,,,,,,,,,,,
DL21LL03,DL,2021,LL,3,158,42,-27.27,10.88,,,,,,,,,,,,
GC21MWF03,GC,2021,MWF,3,160,55,-27.06,11.39,,,,,,,,,,,,
GC21MWF05,GC,2021,MWF,5,163,30,-27.70,12.31,,,,,,,,,,,,
DL22LL103,DL,2022,LL,103,166,45,-29.28,12.00,,,,,,,,,,,,
GC21MWF02,GC,2021,MWF,2,166,55,-30.72,13.01,,,,,,,,,,,,
DL21LL06,DL,2021,LL,6,167,52,-27.66,11.61,,,,,,,,,,,,
BG21MWF10,BG,2021,MWF,10,168,55,-27.43,10.99,,,,,,,,,,,,
BG21MWF02,BG,2021,MWF,2,170,45,-27.34,13.02,,,,,,,,,,,,
BG21LSSU14,BG,2021,LSSU,14,174,65,-27.49,13.89,,,,,,,,,,,,
BG21MWF11,BG,2021,MWF,11,175,60,-30.60,12.73,,,,,,,,,,,,
DL22LL104,DL,2022,LL,104,175,60,-28.38,11.67,,,,,,,,,,,,
DL22MWF12,DL,2022,MWF,12,175,60,-26.57,7.12,,,,,,,,,,,,
GC21LL03,GC,2021,LL,3,175,60,-27.32,13.21,,,,,,,,,,,,
GC21LL03,GC,2021,LL,3,181,70,-26.50,7.93,,,,,,,,,,,,
GC21LNSU01,GC,2021,LNSU,1,181,55,-26.95,9.89,,,,,,,,,,,,
DL21LL08,DL,2021,LL,8,183,72,-26.75,8.66,,,,,,,,,,,,
DL22LL102,DL,2022,LL,102,186,100,-24.15,10.62,,,,,,,,,,,,
DL 21 MWF12,DL,2021,MWF,12,186,66,-29.28,10.28,,,,,,,,,,,,
