Cap ID,Site,Year,Species,Tissue,Num,Length,Weight,Sample weight,As,Cd,Cu,Pb,Se,Zn
3,DL,2021,LL,g,1,254,184,0.0993,0.954757152,0.209580838,2.970725216,0.542248836,2.654690619,360.1397206
8,DL,2021,LL,g,3,158,42,0.0501,1.12286002,0.216515609,6.273917422,0.790533736,2.079556898,367.9758308
11,DL,2021,LL,g,4,141,28,0.0495,0.943820225,0.202247191,5.06741573,0.808988764,2.617977528,331.4044944
14,DL,2021,LL,g,5,392,564,0.062,1.099630996,0.402214022,3.649446494,0.520295203,2.040590406,594.9520295
17,DL,2021,LL,g,6,167,52,0.1503,1.022267206,0.263157895,6.487854251,0.369433198,2.722672065,337.1761134
20,DL,2021,LL,g,7,188,74,0.0823,0.806658131,0.19206146,8.341869398,1.139564661,1.145966709,324.6670935
23,DL,2021,LL,g,8,183,72,0.3381,0.861313869,0.430656934,9.430656934,0.255474453,8,133.4817518
29,DL,2021,LL,g,14,147,36.28736,0.2697,2.743445693,0.280898876,22.58426966,3.174157303,3.286516854,455.4400749
31,DL,2021,LL,g,13,436,716.67536,0.3221,1.011396011,0.192307692,6.933760684,2.792022792,1.848290598,353.9351852
203,DL,2022,LL,g,103,166,45,0.3416,1.350293542,0.205479452,9.980430528,0.909980431,5.107632094,364.6183953
205,DL,2022,LL,g,102,186,100,0.1249,4.062095731,0.42690815,34.10090556,4.838292367,3.040103493,266.6429495
209,DL,2022,LL,g,101,340,360,0.0874,0.82278481,0.299194476,3.147295742,0.517836594,1.766398159,486.3924051
211,DL,2022,LL,g,104,175,60,0.0887,2.143705463,0.172209026,12.64845606,1.6152019,2.743467933,370.611639
310,BG,2022,LL,g,1,320,265,0.08,0.46641791,0.223880597,8.600746269,0.78358209,1.865671642,316.8656716
314,BG,2022,LL,g,6,366,450,0.0881,0.489864865,0.275900901,7.31981982,1.047297297,2.561936937,390.1013514
315,BG,2022,LL,g,4,429,640,0.1445,0.715005035,0.171198389,20.55387714,0.563947633,3.136958711,214.8439074
317,BG,2022,LL,g,3,301,280,0.1218,1.063218391,0.201149425,16.12787356,0.804597701,3.060344828,371.4798851
319,BG,2022,LL,g,2,292,275,0.143,0.70327553,0.260115607,98.88246628,0.433526012,2.668593449,568.3815029
341,BG,2021,LL,g,10,205,95,0.1465,1.497005988,0.469061876,9.331337325,1.007984032,5.079840319,317.754491
343,BG,2021,LL,g,9,280,230,0.069,3.90052356,1.064572426,16.36125654,2.591623037,2.897033159,548.6823735
346,BG,2021,LL,g,8,150,35,0.1072,1.805555556,0.3125,15.53819444,2.170138889,3.489583333,463.1597222
350,BG,2021,LL,g,7,198,80,0.874,1.95959596,0.383838384,17.04040404,3,3.323232323,458.9292929
401,GC,2021,LL,g,4,181,70,0.3975,0.837155963,0.160550459,9.185779817,1.077981651,5.711009174,351.9724771
402,GC,2021,LL,g,3,175,60,0.3436,2.010309278,0.198821797,17.56995582,2.407952872,3.431516937,291.5095729
405,GC,2022,LL,g,8,218,105,0.2803,0.410310363,0.03945292,2.405312993,0.010520779,1.675433982,48.15491846
420,GC,2022,LL,g,12,124,5,0.0683,0.458115183,0.27486911,16.37434555,0.54973822,1.793193717,353.4424084
421,GC,2022,LL,g,11,155,10,0.1156,0.622254758,0.285505124,19.01171303,0.344070278,2.833089312,304.7071742
424,GC,2022,LL,g,9,245,150,0.121,0.720461095,0.288184438,11.67146974,0.324207493,4.646974063,408.8256484
