"","Sample","Site","Year","Species_all","Species","Num","Length","Weight","l_As","l_Cd","l_Cu","l_Pb","l_Se","l_Zn","K","m_As","m_Cd","m_Cu","m_Pb","m_Se","m_Zn","g_As","g_Cd","g_Cu","g_Pb","g_Se","g_Zn","wb_As","wb_Cd","wb_Cu","wb_Pb","wb_Se","wb_Zn","d13C","d15N"
"1","BG21FSSH02","BG",2021,"RSSH","RSSH",2,20,0.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-27.96,13.33
"2","BG21LL01","BG",2021,"LL","LL",1,235,155,6.218905473,19.90049751,9418.739635,2.072968491,142.6202322,1956.467662,1.19434036774125,0.319390402,0.004863813,1.027885863,0.012970169,1.26459144,17.43514916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-27.64,9.68
"3","BG21LL02","BG",2021,"LL","LL",2,390,625,NA,NA,NA,NA,NA,NA,1.05362531398034,0.517241379,0.001926985,1.820541342,0.006773877,1.203188728,28.61883574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-30.53,12.63
"4","BG21LL03","BG",2021,"LL","LL",3,246,165,NA,NA,NA,NA,NA,NA,1.10835433160994,NA,NA,NA,NA,NA,NA,12.35521236,5.019305019,127.027027,17.76061776,25.86872587,5010.03861,NA,NA,NA,NA,NA,NA,-28.42,12.18
"5","BG21LL04","BG",2021,"LL","LL",4,310,325,3.645200486,10.93560146,9515.188335,1.215066829,140.3402187,1653.09842,1.09093350340707,0.409307065,0.005095109,1.122622283,0.006205552,0.835597826,20.1002038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-32.89,13.08
"6","BG21LL05","BG",2021,"LL","LL",5,152,30,NA,NA,NA,NA,NA,NA,0.854260825193177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-31.42,12.46
"7","BG21LL06","BG",2021,"LL","LL",6,287,255,4.86066105,7.77705768,4370.058328,1.29617628,98.50939728,1878.807518,1.07868462912052,0.484848485,0.002673797,1.06684492,0.005347594,0.930481283,17.42067736,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-30.16,13.09
"8","BG21LL07","BG",2021,"LL","LL",7,198,80,1.380443714,0.829909614,367.6663928,0.238290879,9.231717338,241.5036976,1.03061015212836,1.93131695,0.007876497,5.459987398,0.005755874,1.43194707,34.95116572,1.95959596,0.383838384,17.04040404,3,3.323232323,458.9292929,NA,NA,NA,NA,NA,NA,-30.57,12.9
"9","BG21LL08","BG",2021,"LL","LL",8,150,35,0.637096774,0.709677419,138.3306452,0.282258065,5.540322581,337.1612903,1.03703703703704,0.875509017,0.003023314,1.332169866,0.010627775,1.524141943,34.60442118,1.805555556,0.3125,15.53819444,2.170138889,3.489583333,463.1597222,NA,NA,NA,NA,NA,NA,-26.65,6.89
"10","BG21LL09","BG",2021,"LL","LL",9,280,230,NA,NA,NA,NA,NA,NA,1.04774052478134,0.887122634,0.004817683,1.1410636185,0.017718418,1.0138015205,18.671554745,3.90052356,1.064572426,16.36125654,2.591623037,2.897033159,548.6823735,NA,NA,NA,NA,NA,NA,-26.86,11.24
