Site,Species,K,Length (mm),,,
BG,LL,1.194340368,235,,,
BG,LL,1.053625314,390,,,
BG,LL,1.108354332,246,,,
BG,LL,1.090933503,310,,,
BG,LL,1.078684629,287,,,
BG,LL,1.030610152,198,,,
BG,LL,1.037037037,150,,,
BG,LL,1.047740525,280,,,
BG,LL,1.1027118,205,,,
BG,LL,0.80871582,320,,,
BG,LL,1.104546845,292,,,
BG,LL,1.02673542,301,,,
BG,LL,0.810602796,429,,,
BG,LL,0.917844812,366,,,
DL,LL,1.122836891,254,,,
DL,LL,1.064824487,158,,,
DL,LL,0.998850965,141,,,
DL,LL,0.936312676,392,,,
DL,LL,1.116487667,167,,,
DL,LL,1.113674234,188,,,
DL,LL,1.17484136,183,,,
DL,LL,0.864695115,436,,,
DL,LL,1.142361003,147,,,
DL,LL,0.915937309,340,,,
DL,LL,1.55403633,186,,,
DL,LL,0.983757938,166,,,
DL,LL,1.119533528,175,,,
GC,LL,0.946455796,281,,,
GC,LL,0.946455796,281,,,
GC,LL,1.119533528,175,,,
GC,LL,1.180490008,181,,,
GC,LL,0.979795077,377,,,
GC,LL,0.825769647,423,,,
GC,LL,1.01998317,245,,,
GC,LL,0.979795077,377,,,
GC,LL,1.020556932,190,,,
GC,LL,0.263406328,156,,,
BG,MWF,1.201791374,312,,,
BG,MWF,0.915937309,170,,,
BG,MWF,1.156542901,385,,,
BG,MWF,1.159380584,282,,,
BG,MWF,1.116413682,534,,,
BG,MWF,0.985657825,426,,,
BG,MWF,1.034160789,452,,,
BG,MWF,0.977768915,361,,,
BG,MWF,1.025066975,430,,,
BG,MWF,0.91115758,435,,,
DL,MWF,1.000709618,443,,,
DL,MWF,0.911604453,438,,,
DL,MWF,0.941861153,365,,,
DL,MWF,0.892615393,266,,,
DL,MWF,1.07216912,390,,,
DL,MWF,1.00625,400,,,
DL,MWF,0.961827493,283,,,
DL,MWF,1.121554518,351,,,
DL,MWF,1.112054628,262,,,
DL,MWF,1.074154224,431,,,
DL,MWF,0.975868997,438,,,
DL,MWF,1.054008936,362,,,
GC,MWF,0.9345051,263,,,
GC,MWF,1.077240345,258,,,
GC,MWF,1.077240345,258,,,
GC,MWF,1.031056161,252,,,
GC,MWF,1.205347359,390,,,
GC,MWF,1.038685386,405,,,
GC,MWF,0.928,250,,,
GC,MWF,0.947944526,274,,,
GC,MWF,1.029579542,330,,,
GC,MWF,1.080084362,426,,,
GC,MWF,1.066994594,244,,,
